,comment,off
7433,هادشي علاش حرم الله النميمة (توصال الهدرة) لا يدخل الجنة نمام وباقي كلشي غيوقف أمام الله الحساب الأكبر كل واحد غياخد حقو,0
656,يا ربي يرجع عهد البصري ينقي الوسخ,0
2267,من يستهزء و يستغل زواج الفاتحة لأغراض شخصية و إخفاء الفساد الأخلاقي فإن الله سبحانه وتعالى لهم بالمرصاد ...أغبياء  😱 الفاتحة أكبر شاهد على الزواج و مباركته...لكن مادمتم تتحايلون على الله فانتظروا مصيركم🤔🤔🤔🤔🤔,1
5656,رجال الغد .!!!!,0
5288,تبادل بصدق,0
1338,العیله العیله شوهتو الله یعطیها الکنسیر فداک الفم طارو دیال الزبل وش معندهاوالدین معندهاجیران حشومه عیب انا بعدا قیاتنی المسخه وجه السلوگی الله یعطیها الموبد باز لباقی کتخرج وکتلاقی مع الناس قلیله الحیا الله یعطیها العقاب,1
3151,الروتين المعفوني الله امسخك داك الذكر عندك كرفستيه أما حاشا واش فيه ريحت الرجلة,1
8003,لاهيلا صوتو زوين خاصو غير يمشي مع اللحن وغيولي ناضي,0
7520,صراحة صدماتني ندى انزار مصدقاتش كانت تابعاك غا على مصلحتها وفلخر بغات تهنا منك بأي طريقة الله ياخد الحق في الظالم وبقا تبع ديما كلام والدين أنزار 😔💕,0
5567,الرداءة في اسمى تجلياتها.يا ربي نكون كا نحلم.كانني ارى قناة ليبية ايام القذافي.دوووووون المستوى في كل شيء.استسمح لكن هذا هو الخراااااا.تفووو يخ حشمتوبينا الله يعطيكم موصييبة.,1
7761,بغينا نزار يفركع الطوندونس ويفوت ندى حسي فالاشتراكات,0
3440,كينين بزاف لكيكونو  كفحال  فجسم بنت ولاكين دري او العكس ولازم يتعالجو علاج نفسي,0
2144,صحافة الويل تفوووو,1
4907,لا حول ولا قوة الا بالله العظيم من كل ذنب عظيم,0
1265,بنادم كيغلط و هدا لي صورها غدي يولد باقي بنت و غادي تعيش بنتو نفس المصير . و الله يهدي البنات يسترو ريوسهم و يحافظو على شرفهم و يصبرو حتى يتزوجو و لي بغاك يجيك بالحلال بش حتى واحد ما يقد يحل فمو عليك ديما تبقى البنت معززة و والديها معززين,0
16,من هدرتك بينة فيك شلاهبي والله متقت فيك. ولد الحوات درويش الله يعمرها دارها وسير دبر على راسك من تحراميات وتشلاهبيت,1
7181,ايكون غي راجل ويحيد الكمامة. راه بحال رجالهم بحال عيالاتهم  كلشي مضرك بالكمامة.,0
2392,عيد الميلاد حتى هو فيه الحوا   ... 😁,1
5426,حشومة عليكم ستروها,0
5810,طاحولي 😢دموع معة هاد دار🙁مسكين,0
724,آعباد الله لماذا تطلبون الله  الطف اي الطف  هذا هؤلاء ليس مغاربة انهم و بدون تعليق يهود انعل,1
1943,الآن ركزى على نسب بنتك ومرة أخرى خلاص,0
4800,علينا بمقولة الأسطورة عزوز=,0
4901,اش عالمتك الله  يعطيني وجهك,1
5885,مسكين واكل بخا باش يقول واخا ههههه,1
6975,العز للمغربيات نحن ايضا في اسبانيا والله لو وجدت واحد من المرتزقة سوف اشتف عليه,0
6345,و هل مشموم النوار ايضا لعيد الميلاد هه,0
553,تبارك الله موهبة تستحق الدفن,1
2249,خلي كولشي داك لقور ديالك وش البنت عرف وش رجل مزوج  لي طرى ليها كتستحقو خاليونا من الزواج الفاتحة باغية تهجم علي امراءة أتخد ليها الرجلها أكلشي لي معيا فرأى إكتب تعليق,0
3109,تفو على قناة وليتو تجيبو ليا العصاب دخلنا عليكم بالله اش ستافدنا من هاد الشوهة واش نتوما مكتحشموش بغينا نحاربو بحال هاد القنوات ونتوما كطلعو ليهم ااشان صافي سالات المشاكل مابقا ليكم غ هاد التخربيق الله يرد بيكم وخلاص.,1
7495,شكون رجع من بعد ما تحل ديسك ابان هنا بواحد جيم باش نشوفو شحال من واحد رجع,0
7173,مغاربة احرار,0
4263,حشومة عليكم اش هاد شي,1
475,بغيتلك دقات عمتي لي امشو اصغار .يا شوف تيفي بركة من شوهة واش ناقصنا غير زامل على قلة المواضيع بي تجبدو فيما كان شي شوهة جيبها شوف تيفي والله ما بقى عندنا الوجه هنا .وناررررري على مراكش اش ولت اطلع سلامة,1
4992,الحلقات كلهم كيضحكو إلا هادي حشومة,0
6660,السيدة أية في الجمال لي متافق معايا يدير لايك,0
6727,ختي هزي ولدك وديه المحكمه ودعيه,0
1141,شابو كبير لهاد السيد هادي هي الرجولة الحقيقية. والبنت غزالة ومربية وباينة بنت ناس الله يخليها ليك و الله يسترك دنيا و اخرة ويعطيك متمنيتي حيت سترتي هاد بنيتة و مديتي ليها يديك و تزوجتي بيها كنتمنى من الذكور يتعلمو منك الرجولة الحقيقية وميبقاوش يتفلاو على بنات ناس ويرميوهم بالعكس يستروهم . شابو كبير ليك اخويا قلبك بيض و صافي الله يعطيك نجاح فنجاح و يرزقك من حيث لا تدري,0
1874,حسبيا الله ونعم الوكيل في كل ظالم وفي كل من يستغل أي بنت ولا ولية ويوعدها بالحلال وهو نوايا خبيثة الله وعاذي عبرة لكل بنت تعرف شيء واحد وتثيق فيه اياكم الي بغات يعقد ويديك لدار ويدبر للبغى في حلال,1
949,قلة الحياء واصحاااب السووء.ربي يعافي كل بنت مستورة.,1
2665,سيرى الله يعطيك الدل الله سنه لكم كاملين أصحاب الرونينيات,1
1928,منسميكش ليلى الى ما ندمتيهش على هاد التسريبات و الفضائح  لي تسببو ليك فيها. اما واش ما كاتحشمش كلنا كنخطاوا و لكن كل واحد و معامن تلاقى. السؤال هنا واش ماكاينش القانون لي يعاقب بحال هاد الناس و على كل بنت تراعي ربنا في نفسها و الله يسترنا دنيا و اخرة,1
8018,اخيرا رجعت بصحتك,0
7466,شخصية قوية برافو عليك بمية راجل ...ويلي على شمايت هزو غير الحجر,1
444,والله وخرجتي عليا بالليل حتى يوقفلي الشعر ويخرجلي الشيب ونعواج 😬😬,1
2266,هاذ محامية فاطمة زهراء بدون كرامة ولا ضمير كيفاش زوجك تشوفي كامل هاذ صور عليه  ومزال دافعي عليه ومزال تسبي في ليلى عوض مترفعي قضية ضده انه خانك بفففف حتما بدون كرامة ولا شرف تفو,1
5807,لا الاه الا أنت سبحانك إني كنت من الظالمين,0
4483,أ عودو بالله من الشيطان الرجيم,0
1812,ختو كنتي كاتصيفطي ليها تصاور ديالكم عريانين تا شهاد الخرا هادا و زايدا بقصوحيت لوجه,1
1925,الصراحة عجباتني الجرأة ديالك وهادوك اللي كيعايرو راه المغرب النص ديالو هاكا غير كيديرو داك الفجور فالخفاء وهاد المحامي اللي كنتي معاه من اوقح الناس باش مرة اخرى متيقي فحتى واحد ربي بنتك والى لقيتي تخوي المغرب احسن حاجة ديريها,1
532,دابا نتوما  رجال  تفو,1
7003,والله يابباك لو كنت حديا لحيدة الراس '''',1
6448,هههههه واعرة هادي والله كاين شي حد مسلم يعذب شي أحد في حياتو سواء جن أو إنس,0
842,اش هاد المرض كنحس براسي ف 1988,1
332,هادي قناة لي كتجعل هاد الاتاويش يبانو تفو على اي واحد داير اشتراك. 😠,1
3201,مول البرتوش ههههههههههه هاااااارب,0
1221,المشكلة في البارطاج 💔💔 تفو على شعب كداير فحالا هما مكغلطوش....اه هي دارت هاد الخطأ و لكن شكون حنا لنحاسبوها بينها و بين مولاها 🙏🏼🙏🏼🙏🏼 أنا قسما بالله مشفت الفيديو ديالها و لكن راه كلشي كخطأ...ستروا بعضياتكم راه الدنيا فانيا و الله يهدي الجميع 🤲🏻🤲🏻,1
4913,يارب السلامة خص الشعب يعمل ثورة وسببها  القضاء اين حق هاذه البنيتة لعنة الله عليكم,1
7547,ملولي طوب رجولة شكرا بزاف هشام وخاص نزار يعقل على هادشي لي دار معه ملولي لي تفق يجي هنا,0
7989,ديرو ليما شي اغنية أخرى وتكرن طويلة,0
2981,علاش شوف تيفي تمشيو عند هاد لكمامر  أش غنستفدو من هاد الزبل ولا تنتوما تبعين غي المشاهدة,1
1607,سير اسمحمد الله يعطيك العز ما دل راك فيه,1
7458,"هانتي قلتيها اختي فيك دم رجولي دم الرجلة مبقاش فالرجال بقاو غير البيادق والشمايت

",1
3081,بحال هاد النوع هو لشوه البلاد محگل سيدي ربي فينا وعطانا هاد البلاء الله يلطف,1
4748,صوفيا القلب الكبير وكيبغي الخير,0
7584,الملولي ونزار كنطالبوا باغنية جديدة وتكون طويلة بصوت نزار الي متافق معايا يخبط جيم يوصل المساج,0
2850,اختي انت بغيتي اوقع حيت مشيتي بالارادة,0
7192,عاش الملك عاش الملك عاش الملك,0
3057,يااااا ودي على الرجولة سير دفن راسك وانت حي احسن ليك اتفروووووووا الله يخلليها سلعة,1
7969,مبرووك نزار,0
3123,سيري الله امسخك,1
572,والله يعطيك غير شي مصيبة خاصك غا الغنا.لا صوت لا صورة تفو,1
1428,نحن اليمنيين نقول للحكومه والمسئوليين والقضاء المغربي ليش ساكتين عن هذي القضيه عيب عليكم هذاحرام القضيه واضح مثل اشمس ونرجومنكم بئلقاء القبض على المجرم الذي اغتصب اختناهذي المسكينه وائلقاء القبض على امهاوابوهاالمجرميين هم طرف بلقضيه,1
731,أعود بالله من الشيطان الرجيم الله يعطيهم مرض اللي ما يدواش,1
6311,مابقا حيا الخلاصة,0
1151,انا بنت ليا فسهرة راس عام كت تغني معاه,0
2832,واش مني بغيتو الدخلو لوطيل قليهم هدي بنت السي التازي,0
238,لحقيقه في دقيقه سير عند ولدك,0
4674,وليتو كتهجرو بالمعصية اتقو الله,0
5474,ألله يهدينا,0
3002,اعوذ بالله من الشيطان الرجيم وسيري الله ينعل لميحشم اتقاي الله فراسك وفداك الدمدومة,1
3465,هي بنت ماشي راجل,0
6529,ودابا هاذ التصاور غير زاد شهرات براسها .,0
7913,مبروك رجعات ليك الأغنية,0
4845,ساعدو السيد وسينيليو الفناة راه حاصل ومعجبوش الحال,1
1021,لوكان ماكانش الكلبة مايكونوش لكلاب,1
3382,دبا بغيت نعرف واش ولد ولا بنت,0
1937,"واش ما عندك والدين ما عندك وجه على تحشمي ؟؟؟؟؟؟؟""",1
3067,وراه بسيف وليتو قربتو تحيدو السروال راه بزاففف نتما والمثالين كترتو بزاففف,1
1339,سلام عليكم العيالات معاكم(أم سعد) اللي بغات دير مشروع عمل و دخل بزاف ديال الأرباح🤑🤑🤑بلا راس المال بلا دبلوم تخدمي غير فوسط دارك وبتلفونك 🤔🥰 هذا عمل حر كتخدمي الوقت لي بغيتي 😍😍 السلعة تجيك حتى لدارك كل منتوج بغيتيه ذو جودة عالية مع أنابيلا تبيعي ونتي مرتاحة حيت جميع منتوجاتها طبيعية 100% وزائد كتقداي بأقل ثمن راسك و كتربحي 30% على كل برودوي بعتيه وعاد زيد الهدايا كل شهر فنما كتقداي زائد خلصة شهرية🤔 كتبدا من 1000 درهم حتى 5000درهم فما فوق على حسب خدمتك و مجهوداتك 💪💪💪 عطي لراسك فرصة وجربي ماتخسري والو حققي أحلامك معانا🥰🥰شنو كتسناي كليكي 👇هنا و مغاداش تندمي,0
6023,هههههههههه لا حول ولا قوة الا بالله العلي العظيم,0
6867,مسكينة تتعلم الناس تجفاف والتكواز  لاحول ولا قوة إلا بالله العلي العظيم  الله يعطيك الدل ا,1
7427,الله يبعد عنك الشر امرأة حسن من ألف راجل  حسن من هدوك الشمايت لكيتفرجو ويصورو,0
67,هههههههه امك مرباتكش وغادا تحاسب عليك قدام الله,1
6774,المشكل في الشباب مبقاش باغي الزواج والوالدين حتا هوما الله يهديهم مبقاوش باغين ازوجو بناتهم الفقير داروري خصو يكون عندو فلوس,0
5876,المليودي يلا جاتك سن مراهقة 😂,1
1435,للأسف كاينين أمهات أكبر قوادات تيبيعوا ويشريوا في بناتهم من أجل الفلوس الله يخد الحق في كل أم استغلت بنتها في الحرام وحردتها على الفساد تفوا على حاله لله يسلط عليهم كورونا,1
4098,ليهذينا.جميعا.اللهم.استرنا....فوق الأرض وتحت الأرض ويوم العرض عليك والاسلام موصاش على.هاذ.شي.,0
4395,علاش مشيتي معاه دابا وقاع الغلاط,0
4386,خوية راه لله معاك نشاعلله لله يخد لحق,0
1185,بناتك صغااااار مساكن الله يهذيك تبدلي الحرفة على وجه بنياتك,0
7349,والله ھذا وان عرفت غلاه الشعب الصحراوی یورید الأستقلال من ھاذ الملك الشاذ,1
4252,ههههههههه طيرتونى,0
6195,جيفى كتولد دود,1
7464,الله يرحمو دخلو عندي جزاكم الله خيرا,0
6434,قال النبي صلى الله عليه وسلم تسليما كثيرا.  لن يدخل الجنة ديوت,0
7985,عافكم شي 50ليك  باش نحس برسي مشهورة ههه😂😂,0
5502,شافتك الصحراء أو هربات ههههههههه 😂😂😂,1
1014,التقحبين سببه العزوف عن الزواج,1
1129,يعطيك الصحه ولكن باين مسكينه تصبح بدوليبرات و ترقد بدوليبرات باين فيك تهدر بزااااف,0
7568,يا إخوان ابنت خالتي مريضة و في حالة خطيرة جدا ادعو لها بالشفاء العاجل من القلب يقولون 40 دعاء غريب مستجاب 💔🙏🏼,0
1965,حسبنا الله ونعم الوكيل فيه هذا ولد الحرام مترسليلهش الصور ديالك انا مزوجه 14لسنه اقسم بالله العظيم إلى معمرني تصورت مع راجلي هاد الصور يا اختي متعاودوش التيقو اخوتي هاد الشي ولا يخلع😭😭😭😭😭😭,1
7073,كون قطع لهنا يخليو عشت بوه,1
7090,شكون شاف السلخة لعطاوه ؟؟؟؟؟؟ الله الوطن الملك,0
3634,وسيري باركة من التبوحيط. شوفي فين هو بات ولدك .معقلتيش عليه قلتي أرى نلسقه فجن. باااااز. الخياااال ديالك واسع بحال ....,1
399,تفواشمن راجل الله يعطيك غبارة,1
1750,قمة الاحلال الاخلاقي وعدم احترام مشاعر الاخرين و قمة التخلف والبؤس والكبت والتقليد الاعمى,1
7201,العياشة رافعين العلم الليوطي,1
5745,تفووووو بندم  ولا مزنزن مبقينا عارفين لبنت من دري 😡,1
5585,هدوك لي كيقولو حرية شخصية بغيتليهم تصونمي يضربهم اخر الزمان شوهت امهاوالمغاربة كملين الصلكوطة,1
3660,الله يعطيك الذل أش هاد النماذج ياربي السلامة 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,1
7593,شكون لى شاف نزار تبوكس ملي مشا عند ملولى يسطاسونى حديا,0
1225,بحال هاد الوالدين هوما الي دمروا البلاد ... جامعين الفقر و الجهل و مكاين غير ابزل في الولاد و لوح للشارع ... الله يخليها تريكة,1
5155,قالت لك نهار 21 شهر 10 شدها الوجع و اليوم 08/10!!! فهم تسطا,0
749,الله ينعل الشيطان ناس مشمءزة  الله يعفو ويتوب,1
1241,حسبيالله ونعم الوكيل لحل لوحيد لهاد لمسخ هو يقطعوه ليه الله يخد فيه الحق ربي كايسترنا ولااد لحرام مجرمين كايفضحو الله يفضح اعراضكم لي يوم دين,1
7610,لي بغا نزار يدير اغنية جديدة على لواليدة ديالو يعفط لايك باش يشوفها ♥️,0
3191,أول دولة فالعادة السرية,1
6338,اا يو يا احمد المحلببة هادي ملشي الملحمة😹,1
6641,هاذوا باينين عليهم ماهم  رجال ولاهم نساء . هاذوا هوما اللي خاص بوهم شي طحنة اديال العصى باش ياله  ارجعوا  رجال اديال المعقول .,1
3875,سر الله يعطيك المسخ  أكثر ما انت ممسوخة العجب,1
1835,واسيري الله يمسخك وحشمي عندك الوجه بحال مراة مع راجلها بلا عقد نكاح الفساد هذا كان يتلقى وشبع وقنع ورجع لولادو لهذا بعدو من الرجال المزوحين يكفي خراب بيوت,1
7338,الموت الانفصالين,1
3724,اوا سير الله يمسخك أكثر ما انت ممسوخ. اودييييي على رجال المستقبل بشخ بشخ,1
5546,وشتو لنفسو حارة والله ابقا معذب حياتو كاملة وبقا بجوع وميدير هاد الحالة نموت ومندير  هكا نصحوها ناس وعطاوها حلول مي بغات هاد طريق عجبتها ضبر راسها لكملات فهاد طريق غنسينياليها عندي متبقاش القناة ديالها طلع ليا مبغاتش تقاد ضبر راسها,1
5166,صراحة را عندك موهبة زوينة تستحق الدفن و الرجم,1
5911,المهم هوا المفاهمة بناتهوم هه الله یسهل علیک اخالتی هعههه 💌💌,0
3250,منانوك😍😍😍😂😂😂😂 راهي مقودة يا دلالي😂😂,1
2946,الله يعطيك العز أما ذل راك فيه,1
1378,هذي عيب بحق الحكومه والقضاء المغربي بنت تغتصب امامكم وانتم ساكتيين,1
7326,من كلامه فهو جزائري. وليس مغربي انفصالي. واش متتفرقوش بين الحزىريبن والمغاربة في اللكنة والمصطلحات.,0
3047,هذا عنوان دايرين آولاد آل*حاب... فينما كاين شي ميكروب تاتجيبوه لينا اتفووو على مكم,1
5753,السلام عليكم خوتي خواتاتي الله يرزقكم من حيث لاتحتسبون ويوفقكم ويرحم ليكم الوالدين خليو فقلوبكم الرحمة حنو علييا وعاونوني باشتراكات ولايكات ومشاهدات وتعليقات زوينة بحالكم ماغادي تخسرو والو  كنترجاكم انا فتحت هاذ القناة لانو ظروفي صعيبة بزاااف هازة عائلة وعندي وليد صغير الله يخليكم 🤲🤲🙏🙏🙏🙏,0
52,ههههههه هاد شوف تيفي اللي حطت عليه مشا فيها,0
786,ياربي العين ليتشوف تعليقي ودعمني بالاشتراك بغيت ليها الجنة ورضاة الوالدين ماتبخلوش عليا محتاجة مساعدتكم🙏😔,0
7113,الصحراء مغربية قبل ما تكون الجزاير,0
5928,خاصنا اعادة التربية. دبا هادشي كايشوفوه الدراري صغار او كايطبقوه بالدوبل,1
3321,هذي مشكلة كبيرة لازمنا نلقاو ليهم الحل,0
3302,مسكينة الام ديما في العداب,0
5321,على حسب ما فهمت المشكل عملولا باباها ملي اول مرة سماها كريم .,0
3684,مالك احنيني شوهتونا الله يكون معاك,1
7177,ليس إنفصالي هذا جزائري بليد من لكنته ليس صحراوي مرتزق بل عميل جزائري,1
2716,دابة القناة ديالك غادية تدير البوز غادي تكون مؤخرة مقطعة و كتدير روتيني اليومي الله يمسخك,1
3087,اللا يعطيك المسخ كثرا مانتي فيه,1
3520,مجتمع فاسد لا دين ولا اخلاق ولا تربية الاب والام غير صالحين بتاتا يجب معاقبتهما اولا ومعاقبة الاخ الفاسد ثانيا .,1
1931,الي عطى ز######لهيا يفكو كتحطمو اسر  افي الاخر كتبكيو الله ينعل الي ميحشم,1
245,سير شوف غير هدوك لولاد لي ناسيهم,1
6217,رآه ربي سبحانه وتعالى كيسمح لينا اوكيسترنا فبزافففففففففف ذيال الحوايج اوبنادم الي ميسوى والو كيحسب بدون رحمة حسبي الله ونعم الوكيل,0
7342,عاش الشعب 🇪🇭👍👍,0
1760,اللهم استرنا واستر وليداتنا يا رب. بنت عويطة( زينة) ودبا بنت نوال دايرين الشوهة لو كان غير كانو والديهم جايين من وسط  بورجوازي نعدروهم لانه دوك الناس متفتحين كثر من القياس ولكن اصلهم من احياء شعبية واللي باقي الواحد  فيها كيراعي للغير.,1
598,ودنيا كعاو عليا الإخوان,1
3808,الزوامل كثروا علينا الله يرحمك يا الحسن الثاني كنت عاصر دين اصلهم,1
5558,وملي كنتي هازه  رجليك  مفكرتيش  فالشوهه  ايوا شربي دابا الله يستر العيب شوهتي  راسك,1
574,واو قلبتي ليوتوب بديسك ديالك وراه قلبتي الكلمات المطنك 😂😂😭😂😂,1
6545,لاحولى ولاقوة الا بالله العلي العظيم.  الله يدير لك تأويل ديال الخير. المنكر هذا,0
392,سير الله يعطيك مصيبة خرجتو على البلاد,1
2534,مال هذ مغاربة هاك نقطعو محامي علاش اخوتي علاش هي كتستحق هذ شي وحتى عائلتها هذ لبنات راه مابقاو كيتحلاو لا بأخلاق ولا حشمة هي كنت عارفاه مزوج وحتى عائلتها وطمع عماهم بغاو يفارقو سيد على مرتو بسيف دير ليها هاك حشومة هو لقاها حيوانة طمعة راه صحك كون لقاها بنت ناس تقول لي دارنا والا مزوج سير لعند مرتك غدا عند الله عزوجل تحاسب اشد حساب ولكن سؤال بنات رخصو راسهم كنقول هاك وانا باقي فيا حال حيت مرا ومانبغيش هذ شي لا راسي ولا اي وحدة ولكن لي دار ذنب يستهل لعقوبة,1
550,دابا اش دارو كاع راه غا كايشطحو و علاش ناس تايديرو مهرجانات من غير باش ديفولاو و تشطحو تفو على شعب لنرتقي,1
6498,يال روعه ههههههههههههههـه ❤️❤️❤️❤️❤️,0
3209,الرجال ديال المغرب ماتو الان باقيين غير الذكور لمكلخين تفو على قناة لموسخة هادو خصاهم ليرجمهوم,1
4783,تافه جدا,1
6225,هادو مطلعينها على الشعب,1
7093,والله امها واخ نوض فيها لقرطاس  صحرا تاعنا الله الوطن الملك حنا مستاعدين,1
3611,"انت حشمي شوية من الكلام الساقط والكلام على الفخد والساق""",1
4437,ماشي سيمحمد خصها تسميك سوسو المتوحشه 🤣🤣🤣🤣,1
4017,ماتلومش ختك الى تبرتشات,1
2782,احترمي غير السن ديالك,0
5590,ناري غتركبو فيها السكر.عبرتو عليها .حتى صوت ديال المساء معدها صوتها بحال الراجل,1
6442,هدو راه كيقولو لينا راه المسيح دجال قريب ايجي,0
3438,هل سأجد من يصلي على النبي من أجل أنقاد هذه الفتاة من هذا المرض يارب 🤲🤲🤲🤲,0
1249,أي بنت لازم تعرف أي ولد يقولها أجي خرجي معيا ولا تصوري معيا ولا صيفت ليا تصاورك تعرف إلا كان بغيها بصح عمروا مغدي يطلب هد شي وغدي يجي الباب الدار والفقر ولدينا دوزوا الفقر ألي كانوا تجمعوا غير الربيع باش يعيشوا ولكن كان الشرف أعضم كوني فقيرة لكن غنية شرفا,0
7849,برافوا عليكم  ملي رجعتوا الأغنية 👋👋👋👋,0
2757,انا دخلت دابا نشوف الفيديوهات ديالك و بغيت نقول لك حتى انت خصك المتابعة القانونية على ذوك الفيديوهات,0
3625,سعداتك اللهم الزواج مع الجنون ولا مع كحل الراس,1
7159,لو كنت في ذلك المكان لكسرت سيارته لأنه هو من بادر و إستوقف بسيارته  لإستفزازنا,1
5919,والفنانين متستغلوش الشهرة وضحكو على الناس حشوما,1
329,دوي وكأنه بنت وش حشمتي ولا محشمتيش اصحبي راك بهدلتي بي راسك ولله  اعفو علا بحالك مبقا ميعجب للهما كورونا تحيد بحالك,1
1637,إتقي الله في نفسك إنتي كتعرضي جسمك للناس العالم كله كيشوفك وش ماخفتي من الله يجيب لك مرض في جسمك حرام عليك والله في جمال وفي بياض في البنات لكن مايشوفها غير زوجها هو الي حلالها أما إنتي ديال رجال كلهم لأنك بعتي جسدك رخيص مقابل الفلوس يوتوب أما أنت رجلها نبكي عليك وأنت حي,1
6065,عبر عليك الله يعطيه صحة عقبال رجال الاخرين لكانت فيهم شوية النفس,1
1469,الله يعطيك العز اما الذل راكم غارقين فيه,1
1694,دسارة ولفشوش مها سفات التراب ومعرفاتش تربي بنتها دوماج,1
5798,شهدشي ندمت  علاش تفرجت فيه,0
5371,والله السعودية تخزن..تتشبت بالقشة خوفا من الغرق..وعندما تغرق لن تكون لها اهمية وبالتالي لن يسأل عنها احد...,0
3753,سير ولدي لطبيب لحماق مابقى مايعجب حتى لهبار وليتو تصوروهم لا حول ولا قوه الا بالله,1
3444,هادك راه ولد مشي بنت الله اشوف من حالو يارب ويشوف فينا كاملين حيث هو لي عندنا وها فهاد الدنيا والولدين ديالنا اما حاد اخور والله لا عتق شي واحد💔😩😦,0
947,قربات كورونا الوسخ 🙃,1
4112,تاتبقاو هذا حلو هذا حلو ومنين توحلو تاتبداو تعيطو على لي رحلو,1
5554,"""بينما أنت تلهو, أحدهم يصرخ في قبره قائلاً :",0
6490,نيفو طايح يالاوباش,1
2631,39 غرزة حمد الله الي راك حية ترزقين,0
6497,انا بقات في الام اما البرهوشة الله يهديها,1
4384,Lherba 😂 ضربة مرتدة و مباغثه 😂😂😂,0
828,تفو على مستوى,1
2702,والله يمسخك والله ينعل لميحشم باااااز ليك مكتحشميش والله متبقاي فينا واخا تبكي الدم,1
742,آش هاد النماذيج أعود بالله من غضب الله هاد جوج علاش متجيهومش كرونا  وتهنا الكرة الأرضية منهم أوسخ بشر شفتهوم في حياتي بقات فيا غير ديك البنية مسكينة لي جبتي لهاد الدنيا شنو دنبها حتى تكون عندها أم بحالك وأنت واش مكيبقاوش فيك خوتك و الأب ديالك يشوفوك بهاد الصورة المقرفة حرام والله حتى حرام,1
253,"طلب لإدارة اليوتوب : اضيفو كلمة "" تفو "" جانب ديزلايك حق مولانا حتا واقفين عليها ولحمد لله اجدي معشتيش حتا لدبا اما كون زادك لمرا لخامسة",1
1474,بغينا اخبار  زاكورة الله ينعل دين مها هي والديوتي للي معاها وتا انتوما معاهوم,1
7080,فين سلخوه مضربوهش كون كنت منهم كون ضربته,1
5083,راني خايف عليك تلقاهم في المريخ,0
4285,كولشي يدير سينيال لهاذ الفيديو حيث شوف تيفي ولات بغات دخل الفلوس باشما كان ولو روتيني اليومي! (وقفت الفيديو ف 0:07 غير باش نكتب الكومونتير. ماتلقاوش تشوفو فيديواتهم راه كتشجعوهم يكملو فهادشي),0
3677,اوا الله يستر يا ربي سير اختي الله يهديك لاما فكرتيش فراسك فكر غافواليديك والشوهة ليجايبهالهم تفو,1
5431,لعن الله الرجال المتشبهين بالنساء😭😂😂😂😂😂,1
3381,سير الله يشافيك بقدرة الله سبحانه و تعالى. و الله يفاجيها عليكم و على كل مومن.و غالبا هاد البنت مريضة مرض روحاني .😥,0
